,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-04-29,SUDOESTE,"-15,848741","-48,067949",270,22.1,32.54,6,2.2
1,2020-04-29,Águas Claras,"-15,835755","-48,023704",127,10.4,74.43,3,2.4
2,2020-04-29,Recanto das Emas,"-15,91697","-48,101851",18,1.5,13.59,1,5.6
3,2020-04-29,Samambaia,"-15,874647","-48,101735",47,3.8,19.19,1,2.1
4,2020-04-29,Taguatinga,"-15,829303","-48,055925",43,3.5,20.66,1,2.3
5,2020-04-29,Vicente Pires,"-15,80135","-48,029207",35,2.9,47.65,0,0.0
6,2020-04-29,CENTRAL,"-15,787416","-47,904364",377,30.9,96.00,3,0.8
7,2020-04-29,Plano Piloto,"-15,79558","-47,880991",214,17.5,92.92,1,0.5
8,2020-04-29,Sudoeste/Octogonal,"-15,791981","-47,929973",48,3.9,86.87,1,2.1
9,2020-04-29,Cruzeiro,"-15,783461","-47,935849",14,1.1,45.37,0,0.0
10,2020-04-29,Lago Norte,"-15,716136","-47,872314",23,1.9,61.95,0,0.0
11,2020-04-29,Lago Sul,"-15,866769","-47,863069",77,6.3,253.96,1,1.3
12,2020-04-29,Varjão do Torto,"-15,709046","-47,878307",1,0.1,11.33,0,0.0
13,2020-04-29,CENTRO SUL,"-15,832904","-47,964603",125,10.2,32.83,8,6.4
14,2020-04-29,Candangolândia,"-15,850394","-47,948315",2,0.2,12.24,0,0.0
15,2020-04-29,Parkway,"-15,912218","-47,958777",17,1.4,73.73,0,0.0
16,2020-04-29,Guará,"-15,819059","-47,97966",65,5.3,46.24,4,6.2
17,2020-04-29,Núcleo Bandeirante,"-15,872164","-47,968502",10,0.8,41.63,1,10.0
18,2020-04-29,Riacho Fundo I,"-15,882885","-48,016893",11,0.9,25.11,2,18.2
19,2020-04-29,Riacho Fundo II,"-15,924313","-48,037374",6,0.5,6.41,0,0.0
20,2020-04-29,SCIA (Estrutural),"-15,783705","-47,987222",13,1.1,35.35,1,7.7
21,2020-04-29,NORTE,"-15,661909","-47,813598",58,4.7,16.34,0,0.0
22,2020-04-29,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0.0
23,2020-04-29,Planaltina,"-15,713838","-47,520359",24,2.0,12.24,0,0.0
24,2020-04-29,Sobradinho I,"-15,653501","-47,802874",31,2.5,43.56,0,0.0
25,2020-04-29,Sobradinho II,"-15,621837","-47,803434",3,0.2,3.83,0,0.0
26,2020-04-29,SUL,"-16,025131","-48,051063",72,5.9,26.38,5,6.9
27,2020-04-29,Gama,"-15,99793","-48,145463",43,3.5,29.93,3,7.0
28,2020-04-29,Santa Maria,"-16,024697","-47,990179",29,2.4,22.43,2,6.9
29,2020-04-29,OESTE,"-15,76191","-48,139419",67,5.5,13.19,4,6.0
30,2020-04-29,Brazlândia,"-15,631225","-48,131325",8,0.7,12.49,0,0.0
31,2020-04-29,Ceilândia,"-15,817297","-48,170523",59,4.8,13.29,4,6.8
32,2020-04-29,LESTE,"-15,835614","-47,715819",253,20.7,80.69,2,0.8
33,2020-04-29,Itapoã,"-15,744747","-47,764271",3,0.2,4.63,0,0.0
34,2020-04-29,Paranoá,"-15,931541","-47,525609",9,0.7,12.05,0,0.0
35,2020-04-29,São Sebastião,"-15,934012","-47,756858",38,3.1,32.76,0,0.0
36,2020-04-29,Jardim Botânico,"-15,855691","-47,809974",25,2.0,43.00,2,8.0
37,2020-04-29,População Privada de Liberdade,"-15,90473","-47,80732",178,14.6,1325.79,0,0.0
